id,candidate_id,candidate_number,full_name_ar,full_name_en,governorate,electoral_district,party_affiliation,coalition,gender,incumbent,photo_url,biography,email,phone,election_year,data_source,created_at,updated_at,is_active
,2025_1_بغداد,1,المرشح العراقي 1,Iraqi Candidate 1,بغداد,,العزم,,أنثى,,,,,,2025,,,,
,2025_2_نجف,2,المرشح العراقي 2,Iraqi Candidate 2,نجف,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_3_نينوى,3,المرشح العراقي 3,Iraqi Candidate 3,نينوى,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_4_كركوك,4,المرشح العراقي 4,Iraqi Candidate 4,كركوك,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_5_السليمانية,5,المرشح العراقي 5,Iraqi Candidate 5,السليمانية,,النصر,,أنثى,,,,,,2025,,,,
,2025_6_نجف,6,المرشح العراقي 6,Iraqi Candidate 6,نجف,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_7_البصرة,7,المرشح العراقي 7,Iraqi Candidate 7,البصرة,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_8_البصرة,8,المرشح العراقي 8,Iraqi Candidate 8,البصرة,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_9_السليمانية,9,المرشح العراقي 9,Iraqi Candidate 9,السليمانية,,الفتح,,ذكر,,,,,,2025,,,,
,2025_10_الأنبار,10,المرشح العراقي 10,Iraqi Candidate 10,الأنبار,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_11_واسط,11,المرشح العراقي 11,Iraqi Candidate 11,واسط,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_12_السليمانية,12,المرشح العراقي 12,Iraqi Candidate 12,السليمانية,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_13_صلاح الدين,13,المرشح العراقي 13,Iraqi Candidate 13,صلاح الدين,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_14_كربلاء,14,المرشح العراقي 14,Iraqi Candidate 14,كربلاء,,سائرون,,ذكر,,,,,,2025,,,,
,2025_15_كركوك,15,المرشح العراقي 15,Iraqi Candidate 15,كركوك,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_16_الأنبار,16,المرشح العراقي 16,Iraqi Candidate 16,الأنبار,,تقدم,,أنثى,,,,,,2025,,,,
,2025_17_كركوك,17,المرشح العراقي 17,Iraqi Candidate 17,كركوك,,الفتح,,أنثى,,,,,,2025,,,,
,2025_18_البصرة,18,المرشح العراقي 18,Iraqi Candidate 18,البصرة,,تحالف السيادة,,ذكر,,,,,,2025,,,,
,2025_19_ذي قار,19,المرشح العراقي 19,Iraqi Candidate 19,ذي قار,,تحالف السيادة,,ذكر,,,,,,2025,,,,
,2025_20_صلاح الدين,20,المرشح العراقي 20,Iraqi Candidate 20,صلاح الدين,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_21_الأنبار,21,المرشح العراقي 21,Iraqi Candidate 21,الأنبار,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_22_ميسان,22,المرشح العراقي 22,Iraqi Candidate 22,ميسان,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_23_البصرة,23,المرشح العراقي 23,Iraqi Candidate 23,البصرة,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_24_بابل,24,المرشح العراقي 24,Iraqi Candidate 24,بابل,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_25_ميسان,25,المرشح العراقي 25,Iraqi Candidate 25,ميسان,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_26_الأنبار,26,المرشح العراقي 26,Iraqi Candidate 26,الأنبار,,الفتح,,ذكر,,,,,,2025,,,,
,2025_27_نينوى,27,المرشح العراقي 27,Iraqi Candidate 27,نينوى,,تقدم,,ذكر,,,,,,2025,,,,
